epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,983.896,0.81593,1.59462,1.02806,0.91954,0.91479,0.956,0.801,0.62354,0.65096,0.89779,0.00999748,0.00333249,0.00999748,0.00333249,0.00999748,0.00333249,0.00999748,0.00333249
2,1821.46,0.84097,0.99253,1.04929,0.91619,0.89863,0.95317,0.78383,0.68144,0.59358,0.94007,0.0196015,0.00653384,0.0196015,0.00653384,0.0196015,0.00653384,0.0196015,0.00653384
3,2634.29,0.90626,0.90649,1.08462,0.9168,0.8927,0.94983,0.77438,0.71011,0.60517,0.9654,0.0288096,0.00960319,0.0288096,0.00960319,0.0288096,0.00960319,0.0288096,0.00960319
4,3432.88,0.91872,0.84671,1.09955,0.93744,0.89827,0.95632,0.79152,0.68681,0.52631,0.96589,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4217.39,0.85425,0.7389,1.06937,0.94233,0.9241,0.97208,0.81965,0.6445,0.47605,0.93849,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4972.1,0.81661,0.68561,1.0527,0.93837,0.94067,0.9688,0.82693,0.61216,0.45267,0.92524,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5753.54,0.78667,0.6345,1.03573,0.93784,0.95266,0.98071,0.84483,0.58152,0.41453,0.90399,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6623.02,0.75949,0.60032,1.02157,0.95291,0.95079,0.9809,0.85599,0.56142,0.38732,0.89566,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7436.24,0.74239,0.58163,1.01561,0.96263,0.95172,0.98462,0.86867,0.54356,0.36856,0.89473,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8538.61,0.72443,0.55608,1.00685,0.95456,0.9654,0.98434,0.87453,0.52105,0.35591,0.88172,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9491.47,0.70952,0.53552,0.99808,0.9675,0.96065,0.98659,0.88506,0.50663,0.33736,0.87097,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,10243.4,0.69479,0.52186,0.99322,0.96507,0.96114,0.98643,0.88852,0.49783,0.32181,0.86828,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,11008.7,0.68854,0.50868,0.98909,0.96369,0.96882,0.9869,0.88946,0.49241,0.31675,0.86578,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,11796,0.67072,0.48968,0.98223,0.97386,0.95991,0.98991,0.89784,0.48109,0.31049,0.86154,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,12508.4,0.6676,0.48614,0.97781,0.97145,0.97049,0.98965,0.8967,0.47846,0.29788,0.85608,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,13208.6,0.65931,0.4761,0.97784,0.96655,0.97534,0.99152,0.90138,0.46854,0.29056,0.85273,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,13947.9,0.65214,0.46821,0.97164,0.97244,0.97538,0.99062,0.90507,0.45829,0.28631,0.85105,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,14860,0.64268,0.45701,0.9659,0.97413,0.9732,0.99032,0.90431,0.45743,0.2799,0.85194,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,15567.6,0.63382,0.44832,0.96391,0.97073,0.97896,0.99146,0.90989,0.44733,0.27153,0.84665,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,16290.5,0.62994,0.44061,0.9585,0.97282,0.98355,0.99171,0.91469,0.44414,0.26248,0.84225,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,17050.2,0.62016,0.42786,0.95465,0.97489,0.97932,0.99232,0.91613,0.43783,0.25984,0.84209,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,17765.3,0.61214,0.42193,0.95456,0.97604,0.98011,0.99158,0.91663,0.43343,0.25703,0.84038,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,18489.4,0.61265,0.42488,0.95218,0.98112,0.97618,0.99238,0.91635,0.42837,0.25223,0.83802,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,19210.4,0.6025,0.41506,0.94703,0.97991,0.97862,0.99223,0.91951,0.42602,0.24598,0.83754,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,19919.2,0.60396,0.41166,0.949,0.9807,0.97417,0.99219,0.92129,0.42332,0.24548,0.83656,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,20627.2,0.59614,0.404,0.94637,0.97789,0.9797,0.99211,0.92257,0.41719,0.24338,0.83494,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,21328.7,0.5884,0.39816,0.9443,0.97716,0.98386,0.99248,0.9237,0.41544,0.23949,0.83334,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,22025.1,0.58409,0.39477,0.94211,0.97966,0.98194,0.99185,0.92751,0.40859,0.23418,0.83026,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,22736,0.5789,0.38827,0.93823,0.98017,0.98036,0.99241,0.92766,0.40603,0.23075,0.82785,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,23441.3,0.57133,0.38158,0.93539,0.98066,0.98131,0.99251,0.92745,0.40483,0.2294,0.82628,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,24154,0.56432,0.37681,0.93233,0.98153,0.98152,0.99185,0.92906,0.399,0.22452,0.82534,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,24860.5,0.56665,0.37752,0.93537,0.98532,0.98049,0.99267,0.92974,0.39737,0.22552,0.82628,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,25552.7,0.55601,0.36415,0.92843,0.9853,0.97859,0.99131,0.93085,0.39348,0.22284,0.82341,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26262.2,0.54985,0.36175,0.9256,0.98512,0.9804,0.99193,0.93028,0.39461,0.22083,0.82309,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26972.6,0.54626,0.35667,0.92398,0.98277,0.98218,0.9918,0.93098,0.39331,0.21835,0.82253,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,27679.5,0.5423,0.35256,0.92418,0.98345,0.97854,0.99237,0.93334,0.39248,0.21637,0.82306,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,28375.5,0.53896,0.34788,0.92135,0.98303,0.9825,0.99273,0.93467,0.38868,0.21441,0.82051,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,29092.5,0.53351,0.34358,0.91856,0.98376,0.983,0.99304,0.93603,0.38583,0.21157,0.81933,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29806.1,0.52823,0.34082,0.91711,0.98448,0.98393,0.99309,0.93636,0.38378,0.20878,0.81772,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
