epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.227,1.15963,1.97257,1.17897,0.90005,0.89974,0.94233,0.70452,0.93547,0.71697,0.93819,0.00199799,0.00199799,0.0420081
2,293.455,1.05862,1.11105,1.11572,0.92702,0.88851,0.94493,0.71634,0.88445,0.67917,0.93518,0.00395805,0.00395805,0.0339681
3,427.752,1.06243,1.03897,1.13583,0.84663,0.81328,0.88915,0.70214,0.76847,0.83772,0.93715,0.00587815,0.00587815,0.0258882
4,570.097,1.08912,1.03153,1.16216,0.90859,0.88333,0.93832,0.70124,0.90625,0.71667,0.99439,0.00775829,0.00775829,0.0177684
5,705.233,1.12094,1.04063,1.18758,0.8844,0.87723,0.93169,0.69848,0.90113,0.71526,1.00244,0.00959847,0.00959847,0.00960854
6,839.131,1.13739,1.03558,1.20435,0.92688,0.87804,0.94156,0.72879,0.84585,0.63965,0.99034,0.0095005,0.0095005,0.0095005
7,970.654,1.09288,0.95128,1.18072,0.94958,0.91739,0.9669,0.75454,0.84052,0.54448,0.98148,0.0094006,0.0094006,0.0094006
8,1102.9,1.06623,0.89592,1.16852,0.92384,0.90336,0.9646,0.76964,0.75812,0.55208,0.95422,0.0093007,0.0093007,0.0093007
9,1235.22,1.04924,0.86806,1.16789,0.92384,0.93305,0.96819,0.79164,0.72681,0.51156,0.93718,0.0092008,0.0092008,0.0092008
10,1367.29,1.01637,0.81173,1.14534,0.95288,0.92537,0.97703,0.81571,0.66175,0.45444,0.92106,0.0091009,0.0091009,0.0091009
11,1498.93,1.01262,0.80305,1.14548,0.95472,0.92818,0.97641,0.81207,0.69856,0.44538,0.92428,0.009001,0.009001,0.009001
12,1630.35,0.99161,0.77822,1.1321,0.94837,0.93655,0.97896,0.82506,0.647,0.42834,0.9168,0.0089011,0.0089011,0.0089011
13,1762.05,0.9809,0.76197,1.12485,0.95702,0.94855,0.98214,0.82804,0.64293,0.41237,0.9084,0.0088012,0.0088012,0.0088012
14,1894.22,0.96803,0.74854,1.1204,0.94817,0.95254,0.98351,0.8413,0.60737,0.40942,0.90033,0.0087013,0.0087013,0.0087013
15,2025.98,0.96613,0.74398,1.12273,0.94852,0.9556,0.98483,0.84149,0.61109,0.39103,0.90091,0.0086014,0.0086014,0.0086014
16,2158.08,0.95237,0.72454,1.11345,0.95718,0.94414,0.98247,0.84288,0.60787,0.38315,0.89584,0.0085015,0.0085015,0.0085015
17,2289.43,0.95011,0.71972,1.1112,0.96884,0.94923,0.98656,0.8433,0.61942,0.36617,0.88902,0.0084016,0.0084016,0.0084016
18,2420.65,0.93907,0.70266,1.10621,0.96596,0.95744,0.98616,0.84498,0.61685,0.36608,0.88997,0.0083017,0.0083017,0.0083017
19,2554.43,0.92345,0.68768,1.09326,0.95925,0.96411,0.98642,0.84847,0.60761,0.36296,0.88578,0.0082018,0.0082018,0.0082018
20,2686.67,0.92665,0.69598,1.09954,0.97031,0.9611,0.98889,0.85973,0.5755,0.34495,0.88087,0.0081019,0.0081019,0.0081019
21,2818.22,0.91449,0.67887,1.09203,0.96995,0.96072,0.98805,0.8602,0.57651,0.34286,0.88012,0.008002,0.008002,0.008002
22,2949.49,0.91109,0.6734,1.09017,0.96526,0.96735,0.98844,0.86331,0.57495,0.33639,0.87688,0.0079021,0.0079021,0.0079021
23,3080.55,0.90699,0.66387,1.08644,0.96807,0.96632,0.98878,0.86307,0.57025,0.32878,0.87551,0.0078022,0.0078022,0.0078022
24,3211.94,0.89691,0.65991,1.08071,0.9718,0.9647,0.98894,0.87184,0.55447,0.32327,0.87038,0.0077023,0.0077023,0.0077023
25,3344.14,0.90229,0.65799,1.08569,0.97782,0.96639,0.99008,0.87491,0.54273,0.31345,0.8667,0.0076024,0.0076024,0.0076024
26,3487.9,0.89083,0.65031,1.07936,0.9697,0.97334,0.99089,0.8745,0.54291,0.31231,0.86427,0.0075025,0.0075025,0.0075025
27,3639.08,0.88162,0.64334,1.07375,0.97175,0.96937,0.99051,0.87805,0.53273,0.30727,0.85849,0.0074026,0.0074026,0.0074026
28,3790.11,0.87732,0.6427,1.07269,0.98113,0.96817,0.99112,0.88266,0.52555,0.30121,0.86018,0.0073027,0.0073027,0.0073027
29,3939.29,0.86686,0.62892,1.06745,0.9776,0.97188,0.99135,0.88085,0.52949,0.29851,0.85861,0.0072028,0.0072028,0.0072028
30,4083.14,0.86146,0.62769,1.06481,0.97524,0.96904,0.99089,0.885,0.5153,0.29812,0.85895,0.0071029,0.0071029,0.0071029
31,4222.86,0.86081,0.63367,1.06822,0.9686,0.97884,0.99123,0.88749,0.51194,0.29323,0.85762,0.007003,0.007003,0.007003
32,4343.13,0.85275,0.61926,1.06238,0.9759,0.97586,0.99146,0.886,0.52131,0.29282,0.85808,0.0069031,0.0069031,0.0069031
33,4486.27,0.84046,0.61138,1.05555,0.97228,0.97479,0.99176,0.89228,0.51024,0.29042,0.85327,0.0068032,0.0068032,0.0068032
34,4640.24,0.84062,0.61381,1.05781,0.97688,0.97128,0.99138,0.89207,0.50413,0.28252,0.8516,0.0067033,0.0067033,0.0067033
35,4792.29,0.84097,0.61345,1.05604,0.97998,0.97373,0.99184,0.89555,0.49437,0.28009,0.84785,0.0066034,0.0066034,0.0066034
36,4943.08,0.83215,0.60419,1.05195,0.97009,0.98129,0.99149,0.8956,0.50385,0.27784,0.84965,0.0065035,0.0065035,0.0065035
37,5093.83,0.82253,0.59952,1.04512,0.97699,0.97409,0.99101,0.89562,0.50097,0.27418,0.84741,0.0064036,0.0064036,0.0064036
38,5245.02,0.82038,0.59531,1.04426,0.97861,0.97487,0.9921,0.90181,0.48665,0.26976,0.84167,0.0063037,0.0063037,0.0063037
39,5396.7,0.80757,0.58874,1.03922,0.98056,0.97686,0.99233,0.90269,0.48145,0.26507,0.84084,0.0062038,0.0062038,0.0062038
40,5548.45,0.7978,0.58523,1.03542,0.97924,0.97632,0.99241,0.90458,0.47706,0.26399,0.83986,0.0061039,0.0061039,0.0061039
41,5698.92,0.79182,0.57722,1.03412,0.97392,0.97907,0.99237,0.90475,0.48082,0.26404,0.84045,0.006004,0.006004,0.006004
42,5850.12,0.78693,0.57898,1.03246,0.97477,0.98263,0.99245,0.90597,0.47788,0.25841,0.83879,0.0059041,0.0059041,0.0059041
43,6000.86,0.78559,0.57811,1.03171,0.97841,0.98183,0.99232,0.90893,0.47165,0.25492,0.83732,0.0058042,0.0058042,0.0058042
44,6152.06,0.77838,0.57058,1.02772,0.97603,0.98178,0.9924,0.9089,0.47188,0.25378,0.83672,0.0057043,0.0057043,0.0057043
45,6308.73,0.77429,0.56825,1.02777,0.97932,0.98137,0.99269,0.9108,0.47008,0.25359,0.83612,0.0056044,0.0056044,0.0056044
46,6461.62,0.76823,0.56461,1.0255,0.98046,0.97792,0.99267,0.91079,0.46813,0.252,0.83569,0.0055045,0.0055045,0.0055045
47,6618.27,0.76482,0.56036,1.02205,0.9793,0.97947,0.99212,0.91205,0.46126,0.2509,0.83482,0.0054046,0.0054046,0.0054046
48,6770.24,0.75876,0.55293,1.0214,0.97925,0.97973,0.99214,0.91296,0.45982,0.24855,0.83554,0.0053047,0.0053047,0.0053047
49,6923.13,0.7639,0.55582,1.02169,0.97591,0.98348,0.99227,0.91403,0.45596,0.24628,0.83404,0.0052048,0.0052048,0.0052048
50,7073.35,0.75267,0.54446,1.01644,0.97639,0.98285,0.99265,0.91466,0.45505,0.24671,0.83247,0.0051049,0.0051049,0.0051049
51,7228.05,0.75229,0.54569,1.01662,0.97495,0.98432,0.99252,0.91431,0.45253,0.24564,0.83144,0.005005,0.005005,0.005005
52,7384.83,0.7446,0.53886,1.01415,0.97539,0.98321,0.99247,0.91528,0.4505,0.24515,0.83149,0.0049051,0.0049051,0.0049051
53,7545.79,0.74729,0.54113,1.01511,0.97616,0.98321,0.9925,0.91561,0.44924,0.24372,0.83081,0.0048052,0.0048052,0.0048052
54,7703.19,0.73861,0.53558,1.01219,0.9774,0.9824,0.99254,0.91673,0.44851,0.24268,0.83151,0.0047053,0.0047053,0.0047053
55,7856.39,0.73558,0.53225,1.01033,0.97558,0.98188,0.99248,0.91693,0.44894,0.24191,0.8315,0.0046054,0.0046054,0.0046054
56,8009.25,0.73545,0.53129,1.01025,0.97161,0.98649,0.99261,0.91781,0.44792,0.2414,0.83073,0.0045055,0.0045055,0.0045055
57,8163.21,0.72753,0.52324,1.00479,0.97292,0.98705,0.99267,0.91862,0.447,0.24106,0.83048,0.0044056,0.0044056,0.0044056
58,8314.42,0.7339,0.52966,1.00628,0.97445,0.98628,0.99256,0.91824,0.44588,0.23955,0.8295,0.0043057,0.0043057,0.0043057
59,8463.99,0.72061,0.51509,1.00195,0.97634,0.9862,0.99267,0.91957,0.44484,0.23797,0.82926,0.0042058,0.0042058,0.0042058
60,8614.57,0.7196,0.51719,1.00307,0.97755,0.98554,0.9927,0.91974,0.44252,0.23729,0.82874,0.0041059,0.0041059,0.0041059
61,8764.36,0.71985,0.51736,1.00323,0.9768,0.9859,0.99275,0.92046,0.44078,0.23698,0.82835,0.004006,0.004006,0.004006
62,8914.14,0.71919,0.51652,1.00228,0.97692,0.98572,0.99267,0.92104,0.4396,0.23657,0.82788,0.0039061,0.0039061,0.0039061
63,9063.63,0.71099,0.51194,0.99947,0.97786,0.98477,0.99273,0.92161,0.43894,0.23578,0.82754,0.0038062,0.0038062,0.0038062
64,9213.78,0.70884,0.50587,0.99878,0.97879,0.98465,0.99274,0.92125,0.4391,0.23523,0.82739,0.0037063,0.0037063,0.0037063
65,9364.07,0.70746,0.50339,0.99793,0.97963,0.98463,0.9927,0.92116,0.43883,0.23487,0.82711,0.0036064,0.0036064,0.0036064
66,9514.48,0.70535,0.49881,0.99478,0.98025,0.98448,0.9927,0.92168,0.43884,0.23471,0.82684,0.0035065,0.0035065,0.0035065
67,9664.43,0.69802,0.50016,0.99413,0.9801,0.98404,0.9927,0.92164,0.43821,0.23435,0.82649,0.0034066,0.0034066,0.0034066
68,9814.23,0.69318,0.49247,0.99148,0.97937,0.98443,0.99271,0.92277,0.43747,0.2339,0.82628,0.0033067,0.0033067,0.0033067
69,9963.93,0.69725,0.49658,0.99271,0.98007,0.98378,0.9927,0.92266,0.43681,0.23331,0.82609,0.0032068,0.0032068,0.0032068
70,10113.9,0.68989,0.48761,0.98655,0.97949,0.98408,0.99276,0.9226,0.43628,0.23278,0.82566,0.0031069,0.0031069,0.0031069
71,10263.7,0.69043,0.48984,0.98947,0.97929,0.98411,0.99281,0.92261,0.43612,0.23261,0.82537,0.003007,0.003007,0.003007
72,10413.8,0.68047,0.48029,0.98453,0.97951,0.98408,0.99283,0.923,0.43595,0.23216,0.82509,0.0029071,0.0029071,0.0029071
73,10563.9,0.68037,0.47871,0.98309,0.97968,0.98422,0.99287,0.92285,0.43561,0.232,0.82473,0.0028072,0.0028072,0.0028072
74,10714.1,0.68248,0.4832,0.98492,0.9798,0.98418,0.99289,0.92309,0.43509,0.23133,0.82441,0.0027073,0.0027073,0.0027073
75,10863.4,0.67942,0.47546,0.98325,0.97984,0.98365,0.99289,0.9229,0.43442,0.23123,0.82408,0.0026074,0.0026074,0.0026074
76,11013.6,0.66922,0.46706,0.98194,0.97965,0.9838,0.99289,0.92312,0.43398,0.23115,0.8239,0.0025075,0.0025075,0.0025075
77,11163.6,0.67237,0.47294,0.98104,0.97959,0.98401,0.9929,0.92392,0.4337,0.23091,0.82367,0.0024076,0.0024076,0.0024076
78,11314,0.66675,0.46403,0.98047,0.97908,0.98402,0.99291,0.92363,0.43314,0.23053,0.82335,0.0023077,0.0023077,0.0023077
79,11463.4,0.666,0.46272,0.98024,0.97852,0.98409,0.99291,0.92434,0.43264,0.23035,0.82299,0.0022078,0.0022078,0.0022078
80,11613.9,0.66784,0.46492,0.9797,0.97859,0.98403,0.99292,0.92419,0.43243,0.22967,0.82272,0.0021079,0.0021079,0.0021079
81,11791.9,0.48793,0.28985,0.86638,0.97866,0.98402,0.99291,0.92431,0.43145,0.22921,0.82241,0.002008,0.002008,0.002008
82,11939.7,0.47757,0.28242,0.86413,0.97882,0.98439,0.99293,0.92496,0.4311,0.2287,0.82217,0.0019081,0.0019081,0.0019081
83,12086.7,0.47323,0.27757,0.86232,0.97935,0.98406,0.99294,0.92483,0.4303,0.22798,0.82183,0.0018082,0.0018082,0.0018082
84,12234.4,0.46657,0.27172,0.85961,0.97967,0.98411,0.99298,0.92538,0.42943,0.22756,0.82152,0.0017083,0.0017083,0.0017083
85,12381.9,0.46183,0.26735,0.85672,0.9798,0.98415,0.993,0.9259,0.42858,0.22667,0.82114,0.0016084,0.0016084,0.0016084
